,href,jobs_title,min_price,max_price,currency,company_name,company_url,city
167,https://hh.ru/vacancy/45970119?from=vacancy_search_list&query=python,C++ Gameplay Developer,,,,AWEM,https://hh.ru/employer/859391,Минск
168,https://hh.ru/vacancy/45964536?from=vacancy_search_list&query=python,Senior Kernel Developer - KernelCare [Remote],,,,Cloud Linux,https://hh.ru/employer/1245452,Минск
169,https://hh.ru/vacancy/47050267?from=vacancy_search_list&query=python,Senior System engineer,,,,21vek.by,https://hh.ru/employer/763400,Минск
170,https://hh.ru/vacancy/46343312?from=vacancy_search_list&query=python,Инженер (Linux администратор),,,,ООО Лайфтех,https://hh.ru/employer/4199338,Минск
171,https://hh.ru/vacancy/46988275?from=vacancy_search_list&query=python,Quality Assurance engineer,,,,ООО Визутех Систем,https://hh.ru/employer/770639,Минск
172,https://hh.ru/vacancy/44609213?from=vacancy_search_list&query=python,Senior Oracle Database developer / DBA,,,,ЗАО Научсофт,https://hh.ru/employer/746783,Минск
173,https://hh.ru/vacancy/46820641?from=vacancy_search_list&query=python,"Middle Full-stack software engineer (.NET Core, React.js or Vue.js)",1000.0,3000.0,USD,ООО Центория Софт,https://hh.ru/employer/2015058,Минск
174,https://hh.ru/vacancy/46247323?from=vacancy_search_list&query=python,DevOps Engineer (Central Services),,,,"Wargaming, Moscow",https://hh.ru/employer/662769?dpt=662769-662769-moscow,Минск
175,https://hh.ru/vacancy/44704345?from=vacancy_search_list&query=python,Microsoft Database / BI Senior Developer,,,,ЗАО Научсофт,https://hh.ru/employer/746783,Минск
176,https://hh.ru/vacancy/45452809?from=vacancy_search_list&query=python,Senior BigData Engineer,,,,ЗАО Научсофт,https://hh.ru/employer/746783,Минск
177,https://hh.ru/vacancy/46791983?from=vacancy_search_list&query=python,Lead DevOps,,,,Иностр. п. Admitad,https://hh.ru/employer/921918,Минск
178,https://hh.ru/vacancy/45086305?from=vacancy_search_list&query=python,.Net Developer,,,,ООО Сампад,https://hh.ru/employer/1535743,Минск
